Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
2003,,,,1984-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2002,,,,1984-11-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2001,,,,1984-11-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2000,,,,1984-11-14,,,,,Investigation of the upper atmosphere and outer space,USSR
ESA/84/03,,,,1984-11-10,,,,,MARECS PAC 1 is a geostationary maritime mobile communication satellite which will form part of the INMARSAT world-wide maritime communication satellite network,ESA (for Inmarsat)
1999,,,,1984-10-31,,,,,Investigation of the upper atmosphere and outer space,USSR
1998,,,,1984-10-18,,,,,Investigation of the upper atmosphere and outer space,USSR
1997,,,,1984-10-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1996,,,,1984-10-04,,,,,Investigation of the upper atmosphere and outer space,USSR
1995,,,,1984-09-28,,,,,Investigation of the upper atmosphere and outer space,USSR
1994,OKEAN,,,1984-09-28,,,,,Gathering of operational information and continued trials of new kinds of information and measurement apparatus and methods of remote investigation of the seas and oceans and the earth's surface in the interests of science and of various branches of the national economy of the USSR,USSR
1993,,,,1984-09-27,,,,,Investigation of the upper atmosphere and outer space,USSR
1992,,,,1984-09-27,,,,,Investigation of the upper atmosphere and outer space,USSR
1991,,,,1984-09-25,,,,,Investigation of the upper atmosphere and outer space,USSR
1990,,,,1984-09-13,,,,,Investigation of the upper atmosphere and outer space,USSR
1989,RESURS F,,,1984-09-13,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2005/30,,,,1984-09-12,,,,,Recoverable scientific experiment satellite,China
1988,,,,1984-09-07,,,,,Investigation of the upper atmosphere and outer space,USSR
1987,GLONASS,,,1984-09-04,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1986,GLONASS,,,1984-09-04,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1985,GLONASS,,,1984-09-04,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1984,,,,1984-09-04,,,,,Investigation of the upper atmosphere and outer space,USSR
1983,RESURS F,,,1984-08-30,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
1982,,,,1984-08-24,,,,,Transmission of Central Television programmes to a network of receivers for collective use,USSR
1981,,,,1984-08-24,,,,,Operation of long-range telephone and telegraph radio communications system in the USSR and transmission of Central Televisions programmes to stations in the Orbita network,USSR
1980,RESURS F,,,1984-08-16,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
D-R 002,,,,1984-08-16,,,,,Scientific research on the Earth's magnetosphere and plasma physics (see reg. document for full text),Germany
1979,,,,1984-08-14,,,,,Transporting sundry cargo to the Salyut-7 orbital station,USSR
1978,,,,1984-08-10,,,,,Operation of long-range telephone and telegraph radio communications system in the USSR and transmission of Central Televisions programmes to stations in the Orbita network,USSR
1977,,,,1984-08-08,,,,,Investigation of the upper atmosphere and outer space,USSR
1976,,,,1984-08-07,,,,,Investigation of the upper atmosphere and outer space,USSR
1975,,,,1984-08-06,,,,,Investigation of the upper atmosphere and outer space,USSR
1984-2.B,,,,1984-08-04,,,,,Telecommunications satellite,France
ESA/84/02,EUTELSAT 1 F-2,,,1984-08-04,,,,,EUTELSAT 2 is a regional geostationary telecommunication satellite for European countries. It is operated by the EUTELSAT organization,ESA (for Eutelsat)
1974,,,,1984-08-02,,,,,Investigation of the upper atmosphere and outer space,USSR
1973,,,,1984-08-02,,,,,Provision of telephone and telegraph radiocommunications and television broadcasting,USSR
1972,,,,1984-07-31,,,,,Investigation of the upper atmosphere and outer space,USSR
1971,RESURS F,,,1984-07-27,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
1970,,,,1984-07-24,,,,,Investigation of the upper atmosphere and outer space,USSR
1969,RESURS F,,,1984-07-19,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
1968,,,,1984-07-17,,,,,"Transporting a crew comprising ship's commander V.A. Dzhanibekov, flight engineer S.E. Savitskaya and cosmonaut-researcher I.P. Volk to the Salyut-7 orbital station to conduct scientific and technical experiments",USSR
1967,,,,1984-07-05,,,,,Gathering meteorological information and data on penetrating radiation fluxes in circumterrestial space,USSR
1966,,,,1984-07-04,,,,,Investigation of the upper atmosphere and outer space,USSR
1965,,,,1984-06-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1964,,,,1984-06-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1963,,,,1984-06-28,,,,,Investigation of the upper atmosphere and outer space,USSR
1962,,,,1984-06-27,,,,,Investigation of the upper atmosphere and outer space,USSR
1961,,,,1984-06-26,,,,,Investigation of the upper atmosphere and outer space,USSR
1960,RESURS F,,,1984-06-22,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
1959,,,,1984-06-22,,,,,Radio telephone and telegraph communications and transmission of television broadcasts,USSR
1958,COSPAS 3,,,1984-06-21,,,,,Investigation of the upper atmosphere and outer space; use of experimental equipment to test a system for locating vessels and aircraft in distress,USSR
1957,,,,1984-06-19,,,,,Investigation of the upper atmosphere and outer space,USSR
1956,RESURS F,,,1984-06-15,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
1955,,,,1984-06-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1954,,,,1984-06-08,,,,,Investigation of the upper atmosphere and outer space,USSR
1953,,,,1984-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
1952,,,,1984-06-01,,,,,Investigation of the upper atmosphere and outer space,USSR
1951,,,,1984-05-30,,,,,Investigation of the upper atmosphere and outer space,USSR
1950,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1943,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1946,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1947,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1945,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1948,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1949,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1944,,,,1984-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
1942,,,,1984-05-28,,,,,Transporting sundry cargo to Salyut-7 orbital station,USSR
1941,,,,1984-05-25,,,,,Investigation of the upper atmosphere and outer space,USSR
1940,RESURS F,,,1984-05-22,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
1939,GLONASS,,,1984-05-19,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1938,GLONASS,,,1984-05-19,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1937,GLONASS,,,1984-05-19,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
1936,,,,1984-05-17,,,,,Investigation of the upper atmosphere and outer space,USSR
1935,,,,1984-05-14,,,,,Investigation of the upper atmosphere and outer space,USSR
1933,,,,1984-05-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1934,,,,1984-05-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1932,,,,1984-05-08,,,,,Transporting sundry cargo to Salyut-7 orbital station,USSR
1931,GORIZONT 9,,,1984-04-22,,,,,Provision of telephone and telegraph radio-communications and television broadcasting,USSR
1930,,,,1984-04-19,,,,,Investigation of the upper atmosphere and outer space,USSR
1929,,,,1984-04-15,,,,,Transporting sundry cargo to the Salyut-7 orbital station,USSR
1928,,,,1984-04-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2005/29,,,,1984-04-08,,,,,Communication test satellite,China
1927,,,,1984-04-04,,,,,Investigation of the upper atmosphere and outer space,USSR
1926,,,,1984-04-03,,,,,"Transporting a Soviet-Indian international crew comprising ship's commander Y.V. Malyshev, flight engineer G.M. Strekalov (USSR) and cosmonaut-researcher R. Sharma (India) to the Salyut-7 orbital station to conduct scientific and technical studies and exp",USSR
1925,,,,1984-03-29,,,,,Continued investigation of outer space,USSR
1924,,,,1984-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
1923,MOLNIYA 1-60,,,1984-03-17,,,,,"Operation of long-range telephone and telegraph radio communications systemin the USSR, and transmission of USSR Central Televisions programmes to stations in the Orbita network",USSR
1922,,,,1984-03-16,,,,,Transmission of USSR Central television programme broadcasts to a network of receivers for collective use,USSR
1921,,,,1984-03-15,,,,,Investigation of the upper atmosphere and outer space,USSR
1920,,,,1984-03-10,,,,,Investigation of the upper atmosphere and outer space,USSR
1919,,,,1984-03-07,,,,,Investigation of the upper atmosphere and outer space,USSR
1918,,,,1984-03-06,,,,,Investigation of the upper atmosphere and outer space,USSR
1917,,,,1984-03-02,,,,,Investigation of outer space; experiments in relaying telephone and telegraph information in the centimetre wavelength range,USSR
1916,,,,1984-02-28,,,,,Investigation of the upper atmosphere and outer space,USSR
1915,,,,1984-02-21,,,,,Investigation of the upper atmosphere and outer space,USSR
1914,,,,1984-02-21,,,,,Transporting sundry cargo to the Salyut-7 orbital station,USSR
1913,RESURS F,,,1984-02-16,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international co-operation,USSR
1912,,,,1984-02-15,,,,,Radio telephone and telegraph communications and transmission of television programmes,USSR
1910,,,,1984-02-08,,,,,Investigation of the upper atmosphere and outer space,USSR
1911,,,,1984-02-08,,,,,"Transporting a crew consisting of ship's commander L.D. Kizim, flight-engineer V.A. Solovyev and cosmonaut-researcher O.Y. Atkov to the SALYUT-7 orbital station to conduct scientific and technical studies and experiments",USSR
1909,,,,1984-02-02,,,,,Investigation of the upper atmosphere and outer space,USSR
2005/28,,,,1984-01-29,,,,,Scientific test satellite,China
1907,,,,1984-01-26,,,,,Investigation of the upper atmosphere and outer space,USSR
1908,,,,1984-01-26,,,,,Investigation of the upper atmosphere and outer space,USSR
1906,,,,1984-01-13,,,,,Investigation of the upper atmosphere and outer space,USSR
1905,,,,1984-01-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1904,,,,1984-01-11,,,,,Investigation of the upper atmosphere and outer space,USSR
1898,,,,1984-01-05,,,,,Investigation of the upper atmosphere and outer space,USSR
1897,,,,1984-01-05,,,,,Investigation of the upper atmosphere and outer space,USSR
