Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3507-2018-015,,,,2018-12-21,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
CE 4,CHANG'E 4,,,2018-12-07,,,,,Lunar exploration,China
FIN-4-SAT-2018,,,,2018-12-03,,,,,"Experimental satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
FIN-5-SAT-2018,,,,2018-12-03,,,,,Space weather and ionosphere research,Finland
3506-2018-014,,,,2018-12-03,,,,,"Delivery to the International Space Station of the crew of Expeditions 58 and 59, consisting of Oleg Dmitrievich Kononenko (Russian Federation), commander of the manned transport vehicle, and flight engineers David Saint-Jacques (Canada) and Anne McClain (United States of America).",Russian Federation
D-R074,,,,2018-12-03,,,,,Eu:CROPIS (Euglena Combined Regenerative Organic Food Production in Space) is focusing on testing the long-term stability of a biological life support system for missions to the Moon or Mars. It should demonstrate that such a closed life support system (CLSS) can be operated and reinitiated under various gravity conditions.,Germany
D-R066,,,,2018-12-03,,,,,University nanosatellite for educational purposes and technology demonstration. Satellite can send telemetry and receive commands.,Germany
ROLEU.ESP.20,,,,2018-12-03,,,,,"Technology demonstration. Nanosatellite that complies with the 2U standard and carries as payloads an ADS-B receiver for tracking aircraft and a bidirectional communication system for monitoring assets in remote areas, both payloads being designed for use exclusively in the civilian sector.",Spain
4,,,,2018-12-03,,,,,"PW-Sat2 is the second Polish student satellite (and the fourth Polish satellite in general). The project was started in 2013 by members of the Students’ Space Association at the Warsaw University of Technology.  PW-Sat2’s main technical goal is to test new deorbit technology in form of a large deorbit sail whereas the project’s purpose is to educate a group of new space engineers. The satellite’s transmitter frequency is 435.275 MHz and its receiver frequency is 145.900 MHz. The ground station for receiving telemetry and transmitting telecommands is located in Warsaw, Poland. ",Poland
M1,,,,2018-12-03,,,,,Research satellite that is equipped with automatic identification system (AIS) and Automatic dependent surveillance-broadcast (ADS–B) receivers and a software-defined radio,Australia
Sirion Pathfinder-2 ,(HELIOS WIRE PATHFINDER 2),,,2018-12-03,,,,,Telecommunications ,Australia
Centauri 2,,,,2018-12-03,,,,,Telecommunications,Australia
3504-2018-013,,,,2018-11-30,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3505-2018-013,,,,2018-11-30,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3503-2018-013,,,,2018-11-30,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
2018-COL-01,,,,2018-11-29,,,,,FACSat-1 is a 3U amateur nanosatellite equipped with an optical camera with a 30m ground sample distance. FACSat-1 is intended for capacity-building in space technology by the Colombians Air Force.,Colombia
Centauri 1,,,,2018-11-29,,,,,Telecommunications,Australia
FIN-3-SAT-2018,,,,2018-11-29,,,,,2U cubesat designed for peaceful demonstration purposes,Finland
MY009,,,,2018-11-29,,,,,"Technology development and demonstration
",Malaysia
ROLEU.ESP.19,,,,2018-11-29,,,,,"Education, technology demonstration and Earth observation through a VGA camera",Spain
2018-MA-SC-002,,,,2018-11-21,,,,,Earth observation,Morocco
3502-2018-012,,,,2018-11-16,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station.",Russian Federation
Proxima I,,,,2018-11-11,,,,,Telecommunications,Australia
Proxima II,,,,2018-11-11,,,,,Telecommunications,Australia
